Nombre farmacia;Direccion;Longitud;Latitud
SALCOBRAND;AGUSTINAS 841;-33,440481;-70,648611
PARIS;AVENIDA MANUEL ANTONIO MATTA 845, LOCAL 6;-33,458268;-70,645935
SALCOBRAND;BANDERA 200;-33,440742;-70,652268
GAMA;SAN ISIDRO 66;-33,443843;-70,644383
DR, SIMI;PASEO AHUMADA 11;-33,443144;-70,650398
CRUZ VERDE;AVENIDA LIBERTADOR BERNARDO O’HIGGINS 727 AL 729;-33,442759;-70,646575
MUNDO;AVENIDA SANTA ROSA 1390;-33,462847;-70,642604
DR ALIVIO;AVENIDA SAN PABLO 1261;-33,434329;-70,655325
NOVAFARMA;MANUEL ANTONIO MATTA 538, LOCAL 4;-33,365436;-70,728912
GAMA;AVENIDA SANTA ISABEL 453, LOCAL 3;-33,44933;-70,64055
PARIS;TARAPACA 1115, LOCAL 3;-33,447344;-70,651354
GUARDIAN;SAN ANTONIO 371;-33,438486;-70,648305
AHUMADA;ESTADO 2;-33,443307;-70,649043
SALCOBRAND;SAN ANTONIO 80;-33,441883;-70,648008
DR, SIMI;AVENIDA LIBERTADOR BERNARDO O’HIGGINS N°570 Y 572;-33,442465;-70,644364
SALCOBRAND;CATEDRAL 1009;-33,437284;-70,651464
SALCOBRAND;ESTADO 54;-33,442431;-70,649187
SALCOBRAND;HUERFANOS 902;-33,439404;-70,649627
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 20;-33,437276;-70,6354
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 779;-33,44273;-70,647312
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 965;-33,442946;-70,649845
SALCOBRAND;MONEDA 1040;-33,442201;-70,651209
SALCOBRAND;PASEO AHUMADA 101;-33,441812;-70,650583
SALCOBRAND;PASEO AHUMADA 389;-33,438601;-70,651011
SALCOBRAND;PASEO PUENTE 666 LOCAL 02;-33,435413;-70,651794
SALCOBRAND;PASEO PUENTE 689;-33,435178;-70,650938
SALCOBRAND;PORTAL BULNES 405;-33,438003;-70,649649
SALCOBRAND;PORTAL BULNES 445;-33,438012;-70,649628
SALCOBRAND;SAN FRANCISCO 521;-33,451241;-70,646807
LA REBAJA;SAN ANTONIO 785;-33,434226;-70,648849
AHUMADA;BANDERA 121;-33,441808;-70,65188
AHUMADA;NATANIEL COX 620;-33,453777;-70,652268
AHUMADA;PORTUGAL 480;-33,447793;-70,634603
AHUMADA;PASEO PUENTE 602;-33,436119;-70,651569
AHUMADA;PASEO AHUMADA 226;-33,440318;-70,651046
ALMAGRO;SAN DIEGO 540;-33,452226;-70,650182
CRUZ VERDE;10 DE JULIO HUAMACHUCO 1625;-33,454121;-70,657441
CRUZ VERDE;BANDERA 313;-33,439469;-70,652062
CRUZ VERDE;ESTADO 201;-33,440564;-70,64935
CRUZ VERDE;ESTADO 397;-33,438433;-70,649511
CRUZ VERDE;HUERFANOS 806;-33,439487;-70,648314
CRUZ VERDE;AV, LIBERTADOR BERNARDO O'HIGGINS 1516;-33,445993;-70,657442
CRUZ VERDE;AV, LIBERTADOR BERNARDO O'HIGGINS 658 LOCAL 8;-33,442766;-70,645612
CRUZ VERDE;LIRA 49;-33,442616;-70,641428
CRUZ VERDE;MARCOLETA 377;-33,442484;-70,64069
CRUZ VERDE;MATUCANA 775;-33,436186;-70,680125
CRUZ VERDE;MONJITAS 801 ESQUINA SAN ANTONIO;-33,436878;-70,648667
CRUZ VERDE;PASEO AHUMADA 201;-33,440614;-70,650571
CRUZ VERDE;PASEO AHUMADA 298;-33,439663;-70,651027
CRUZ VERDE;PASEO AHUMADA 347;-33,439067;-70,651078
CRUZ VERDE;PORTUGAL 175;-33,444131;-70,637139
CRUZ VERDE;PORTUGAL 481- 497;-33,448108;-70,63547
CRUZ VERDE;AV,VICUÑA MACKENNA 699;-33,451009;-70,631478
CRUZ VERDE;PASEO AHUMADA 2;-33,443432;-70,650611
CRUZ VERDE;PASEO AHUMADA 3;-33,443604;-70,650429
CRUZ VERDE;PASEO PUENTE 598;-33,436137;-70,651459
CRUZ VERDE;PASEO PUENTE 894;-33,433074;-70,6517
DAMYFAR;SAN DIEGO 656;-33,453502;-70,650045
DANIELA;PORTUGAL 16;-33,440514;-70,639992
DEL DR, SIMI;ARTURO PRAT 62;-33,445391;-70,649932
DEL DR, SIMI;BANDERA 602;-33,436221;-70,652899
DEL DR, SIMI;ISMAEL VALDES VERGARA 830;-33,433834;-70,649483
DEL DR, SIMI;LIBERTADOR BERNARDO O'HIGGINS 1396;-33,445404;-70,655313
BOTIKA HABANERA;MERCED 839;-33,437967;-70,64898
DEL DR, SIMI;MIRAFLORES 384;-33,438152;-70,645731
DEL DR, SIMI;SAN ANTONIO 248;-33,439911;-70,648207
DEL DR, SIMI;SAN ANTONIO 54;-33,442299;-70,647942
DEL DR, SIMI;SANTA ROSA 59;-33,444031;-70,646116
DEL DR, SIMI;VICUÑA MACKENNA 27;-33,438088;-70,635146
SAN ANTONIO;SAN ANTONIO 575;-33,436138;-70,648616
GALENICA;SAN ANTONIO 380;-33,438493;-70,648431
GALLERY;HUERFANOS 555;-33,438969;-70,645012
MANRIQUEZ;MERCED 529;-33,437771;-70,644654
MANRIQUEZ;MERCED 722;-33,437986;-70,647275
MANRIQUEZ;PORTUGAL 134;-33,443511;-70,63741
MANRIQUEZ;21 DE MAYO 572;-33,436221;-70,650288
PARIS;SAN FRANCISCO 60;-33,444397;-70,647069
PHARMA 93;SAN ANTONIO 65, LOCAL 105 C;-33,441881;-70,647531
RECCIUS;SAN ANTONIO 229;-33,439876;-70,647973
DEL DR, SIMI;SAN PABLO 984;-33,434123;-70,651448
SANTA GEMITA;PORTUGAL 44;-33,441218;-70,639323
VANIA;MIRAFLORES 498;-33,436711;-70,645856
CRUZ VERDE;VICUÑA MACKENNA 665;-33,450436;-70,632157
AHUMADA;AHUMADA 301;-33,439438;-70,650874
DAMYFAR;MIRAFLORES 332;-33,438604;-70,645597
MANRIQUEZ;SAN ANTONIO 50, LOCAL 3;-33,442236;-70,647916
ECONOFARMA;SAN DIEGO 437 LOCAL 2;-33,450872;-70,650643
MANRIQUEZ;BANDERA 591 - 597;-33,436357;-70,652744
VALLE DE VIDA;SANTO DOMINGO 842;-33,435999;-70,649338
SALCOBRAND;LIBERTADOR GENERAL BERNARDO O'HIGGINS, N° 580 LOCALES 8 Y 9,;-33,442749;-70,64461
DR SIMI;LIBERTADOR GENERAL BERNARDO O'HIGGINS 851;-33,442788;-70,64848
ALQUIMIA;SERRANO 134, LOCAL1;-33,446181;-70,649012
PARIS;AV, SANTA ROSA 93;-33,444988;-70,645869
SALCOBRAND ;AV, PORTUGAL 174-178;-33,444273;-70,63676
AHUMADA;AV, PORTUGAL 170, LOCAL 2;-33,444211;-70,636717
MANRIQUEZ;MERCED 306;-33,437166;-70,641283
LA POPULAR;MAC IVER 157;-33,440729;-70,646495
SALCOBRAND;TOESCA 1844 1882 LOCAL 3 Y 4;-33,453242;-70,66098
ARAUCO;ARAUCO 1055;-33,471777;-70,64776
BULFOR;COQUIMBO 35;-33,453122;-70,631144
C,A,;SAN DIEGO 2068;-33,472851;-70,64828
CRUZ VERDE;EJERCITO LIBERTADOR 303;-33,450724;-70,660866
CRUZ VERDE;EXPOSICION 40 LOCAL 113 - 115;-33,451513;-70,677709
CRUZ VERDE;RONDIZZONI 1650;-33,470126;-70,656723
CRUZ VERDE;SAN DIEGO 2093;-33,473062;-70,648509
CRUZ VERDE;ALMIRANTE LATORRE 310;-33,451571;-70,664097
CRUZ VERDE;SAN DIEGO 1102;-33,459718;-70,649046
DEL DR, SIMI;SAN DIEGO 2090;-33,473018;-70,648223
DEL DR, SIMI;AV, SANTA ROSA 2085;-33,472697;-70,642216
EL GATO;SAN ALFONSO 154, LOCAL 6;-33,452435;-70,676239
FARMAVIP;BASCUÑAN GUERRERO 1599;-33,468259;-70,671782
FARMAX;FRANKLIN 1010;-33,473197;-70,647019
LA REBAJA;SAN DIEGO 2163 2165;-33,473879;-70,648591
MAGISTRALES;PORVENIR 353;-33,455439;-70,635275
NASER;MEIGGS 34;-33,451004;-70,677194
NOBEL;AV, MANUEL MATTA 696;-33,458423;-70,643077
OCHOA;SAN DIEGO 2021;-33,472054;-70,648543
OCHOA;AV, LIBERTADOR BERNARDO O'HIGGINS 2281;-33,447442;-70,666901
OMARI;SAN ALFONSO 136;-33,452218;-70,676091
OMARI;SAN ALFONSO 9;-33,450697;-70,676783
SANTO THOMAS;CONFERENCIA 1401;-33,466493;-70,674409
SIERRA BELLA;SIERRA BELLA 1499;-33,463959;-70,635352
DEL BARRIO;ROBERTO ESPINOZA 1404;-33,464111;-70,651887
NUEVA BOGOTA;LIRA 1784;-33,467806;-70,633279
CRUZ VERDE;FRANKLIN 798;-33,473036;-70,643566
FARMASANTIAGO;SAN DIEGO 2325;-33,475897;-70,648455
EZ;FRANKLIN 403;-33,472024;-70,633191
ALKOSTO;SAN DIEGO 265, LOCAL 2;-33,448574;-70,650963
FARMALIFE;AVENIDA VICUÑA MACKENNA N° 1695;-33,465892;-70,627115
FARMAMASPLUS;AV, MANUEL ANTONIO MATTA 77;-33,455421;-70,630989
SAN DIEGO;SAN DIEGO 1566;-33,466847;-70,648618
BOTICARE;VICTORIA 790;-33,463271;-70,644418
PARIS;AVENIDA SANTA ROSA 1138;-33,459171;-70,643082
