Nombre farmacia;Direccion;Longitud;Latitud
FARMACIAS AMIGA;FRANKLIN N°991;-33.472.996;-70.646.481
FARMACIAS LA REBAJA;SAN DIEGO N°1399. LOCAL 3;-33.455.272;-70.590.258
VALLE DE VIDA;AVENIDA MANUEL ANTONIO MATTA 825. LOCAL 9;-33.459.975;-70.650.938
SALCOBRAND;AGUSTINAS 841;-33.440.481;-70.648.611
PARIS;AVENIDA MANUEL ANTONIO MATTA 845. LOCAL 6;-33.458.268;-70.645.935
SALCOBRAND;BANDERA 200;-33.440.742;-70.652.268
GAMA;SAN ISIDRO 66;-33.443.843;-70.644.383
DR. SIMI;PASEO AHUMADA 11;-33.443.144;-70.650.398
CRUZ VERDE;AVENIDA LIBERTADOR BERNARDO O’HIGGINS 727 AL 729;-33.442.759;-70.646.575
MUNDO;AVENIDA SANTA ROSA 1390;-33.462.847;-70.642.604
DR ALIVIO;AVENIDA SAN PABLO 1261;-33.434.329;-70.655.325
NOVAFARMA;MANUEL ANTONIO MATTA 538. LOCAL 4;-33.365.436;-70.728.912
GAMA;AVENIDA SANTA ISABEL 453. LOCAL 3;-3.344.933;-7.064.055
PARIS;TARAPACA 1115. LOCAL 3;-33.447.344;-70.651.354
GUARDIAN;SAN ANTONIO 371;-33.438.486;-70.648.305
AHUMADA;ESTADO 2;-33.443.307;-70.649.043
SALCOBRAND;SAN ANTONIO 80;-33.441.883;-70.648.008
DR. SIMI;AVENIDA LIBERTADOR BERNARDO O’HIGGINS N°570 Y 572;-33.442.465;-70.644.364
SALCOBRAND;CATEDRAL 1009;-33.437.284;-70.651.464
SALCOBRAND;ESTADO 54;-33.442.431;-70.649.187
SALCOBRAND;HUERFANOS 902;-33.439.404;-70.649.627
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 20;-33.437.276;-706.354
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 779;-3.344.273;-70.647.312
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 965;-33.442.946;-70.649.845
SALCOBRAND;MONEDA 1040;-33.442.201;-70.651.209
SALCOBRAND;PASEO AHUMADA 101;-33.441.812;-70.650.583
SALCOBRAND;PASEO AHUMADA 389;-33.438.601;-70.651.011
SALCOBRAND;PASEO PUENTE 666 LOCAL 02;-33.435.413;-70.651.794
SALCOBRAND;PASEO PUENTE 689;-33.435.178;-70.650.938
SALCOBRAND;PORTAL BULNES 405;-33.438.003;-70.649.649
SALCOBRAND;PORTAL BULNES 445;-33.438.012;-70.649.628
SALCOBRAND;SAN FRANCISCO 521;-33.451.241;-70.646.807
LA REBAJA;SAN ANTONIO 785;-33.434.226;-70.648.849
AHUMADA;BANDERA 121;-33.441.808;-7.065.188
AHUMADA;NATANIEL COX 620;-33.453.777;-70.652.268
AHUMADA;PORTUGAL 480;-33.447.793;-70.634.603
AHUMADA;PASEO PUENTE 602;-33.436.119;-70.651.569
AHUMADA;PASEO AHUMADA 226;-33.440.318;-70.651.046
ALMAGRO;SAN DIEGO 540;-33.452.226;-70.650.182
CRUZ VERDE;10 DE JULIO HUAMACHUCO 1625;-33.454.121;-70.657.441
CRUZ VERDE;BANDERA 313;-33.439.469;-70.652.062
CRUZ VERDE;ESTADO 201;-33.440.564;-7.064.935
CRUZ VERDE;ESTADO 397;-33.438.433;-70.649.511
CRUZ VERDE;HUERFANOS 806;-33.439.487;-70.648.314
CRUZ VERDE;AV. LIBERTADOR BERNARDO O'HIGGINS 1516;-33.445.993;-70.657.442
CRUZ VERDE;AV. LIBERTADOR BERNARDO O'HIGGINS 658 LOCAL 8;-33.442.766;-70.645.612
CRUZ VERDE;LIRA 49;-33.442.616;-70.641.428
CRUZ VERDE;MARCOLETA 377;-33.442.484;-7.064.069
CRUZ VERDE;MATUCANA 775;-33.436.186;-70.680.125
CRUZ VERDE;MONJITAS 801 ESQUINA SAN ANTONIO;-33.436.878;-70.648.667
CRUZ VERDE;PASEO AHUMADA 201;-33.440.614;-70.650.571
CRUZ VERDE;PASEO AHUMADA 298;-33.439.663;-70.651.027
CRUZ VERDE;PASEO AHUMADA 347;-33.439.067;-70.651.078
CRUZ VERDE;PORTUGAL 175;-33.444.131;-70.637.139
CRUZ VERDE;PORTUGAL 481- 497;-33.448.108;-7.063.547
CRUZ VERDE;AV.VICUÑA MACKENNA 699;-33.451.009;-70.631.478
CRUZ VERDE;PASEO AHUMADA 2;-33.443.432;-70.650.611
CRUZ VERDE;PASEO AHUMADA 3;-33.443.604;-70.650.429
CRUZ VERDE;PASEO PUENTE 598;-33.436.137;-70.651.459
CRUZ VERDE;PASEO PUENTE 894;-33.433.074;-706.517
DAMYFAR;SAN DIEGO 656;-33.453.502;-70.650.045
DANIELA;PORTUGAL 16;-33.440.514;-70.639.992
DEL DR. SIMI;ARTURO PRAT 62;-33.445.391;-70.649.932
DEL DR. SIMI;BANDERA 602;-33.436.221;-70.652.899
DEL DR. SIMI;ISMAEL VALDES VERGARA 830;-33.433.834;-70.649.483
DEL DR. SIMI;LIBERTADOR BERNARDO O'HIGGINS 1396;-33.445.404;-70.655.313
BOTIKA HABANERA;MERCED 839;-33.437.967;-7.064.898
DEL DR. SIMI;MIRAFLORES 384;-33.438.152;-70.645.731
DEL DR. SIMI;SAN ANTONIO 248;-33.439.911;-70.648.207
DEL DR. SIMI;SAN ANTONIO 54;-33.442.299;-70.647.942
DEL DR. SIMI;SANTA ROSA 59;-33.444.031;-70.646.116
DEL DR. SIMI;VICUÑA MACKENNA 27;-33.438.088;-70.635.146
SAN ANTONIO;SAN ANTONIO 575;-33.436.138;-70.648.616
GALENICA;SAN ANTONIO 380;-33.438.493;-70.648.431
GALLERY;HUERFANOS 555;-33.438.969;-70.645.012
MANRIQUEZ;MERCED 529;-33.437.771;-70.644.654
MANRIQUEZ;MERCED 722;-33.437.986;-70.647.275
MANRIQUEZ;PORTUGAL 134;-33.443.511;-7.063.741
MANRIQUEZ;21 DE MAYO 572;-33.436.221;-70.650.288
PARIS;SAN FRANCISCO 60;-33.444.397;-70.647.069
PHARMA 93;SAN ANTONIO 65. LOCAL 105 C;-33.441.881;-70.647.531
RECCIUS;SAN ANTONIO 229;-33.439.876;-70.647.973
DEL DR. SIMI;SAN PABLO 984;-33.434.123;-70.651.448
SANTA GEMITA;PORTUGAL 44;-33.441.218;-70.639.323
VANIA;MIRAFLORES 498;-33.436.711;-70.645.856
CRUZ VERDE;VICUÑA MACKENNA 665;-33.450.436;-70.632.157
AHUMADA;AHUMADA 301;-33.439.438;-70.650.874
DAMYFAR;MIRAFLORES 332;-33.438.604;-70.645.597
MANRIQUEZ;SAN ANTONIO 50. LOCAL 3;-33.442.236;-70.647.916
ECONOFARMA;SAN DIEGO 437 LOCAL 2;-33.450.872;-70.650.643
MANRIQUEZ;BANDERA 591 - 597;-33.436.357;-70.652.744
VALLE DE VIDA;SANTO DOMINGO 842;-33.435.999;-70.649.338
SALCOBRAND;LIBERTADOR GENERAL BERNARDO O'HIGGINS. N° 580 LOCALES 8 Y 9.;-33.442.749;-7.064.461
DR SIMI;LIBERTADOR GENERAL BERNARDO O'HIGGINS 851;-33.442.788;-7.064.848
ALQUIMIA;SERRANO 134. LOCAL1;-33.446.181;-70.649.012
PARIS;AV. SANTA ROSA 93;-33.444.988;-70.645.869
SALCOBRAND ;AV. PORTUGAL 174-178;-33.444.273;-7.063.676
AHUMADA;AV. PORTUGAL 170. LOCAL 2;-33.444.211;-70.636.717
MANRIQUEZ;MERCED 306;-33.437.166;-70.641.283
LA POPULAR;MAC IVER 157;-33.440.729;-70.646.495
SALCOBRAND;TOESCA 1844 1882 LOCAL 3 Y 4;-33.453.242;-7.066.098
ARAUCO;ARAUCO 1055;-33.471.777;-7.064.776
BULFOR;COQUIMBO 35;-33.453.122;-70.631.144
C.A.;SAN DIEGO 2068;-33.472.851;-7.064.828
CRUZ VERDE;EJERCITO LIBERTADOR 303;-33.450.724;-70.660.866
CRUZ VERDE;EXPOSICION 40 LOCAL 113 - 115;-33.451.513;-70.677.709
CRUZ VERDE;RONDIZZONI 1650;-33.470.126;-70.656.723
CRUZ VERDE;SAN DIEGO 2093;-33.473.062;-70.648.509
CRUZ VERDE;ALMIRANTE LATORRE 310;-33.451.571;-70.664.097
CRUZ VERDE;SAN DIEGO 1102;-33.459.718;-70.649.046
DEL DR. SIMI;SAN DIEGO 2090;-33.473.018;-70.648.223
DEL DR. SIMI;AV. SANTA ROSA 2085;-33.472.697;-70.642.216
EL GATO;SAN ALFONSO 154. LOCAL 6;-33.452.435;-70.676.239
FARMAVIP;BASCUÑAN GUERRERO 1599;-33.468.259;-70.671.782
FARMAX;FRANKLIN 1010;-33.473.197;-70.647.019
LA REBAJA;SAN DIEGO 2163 2165;-33.473.879;-70.648.591
MAGISTRALES;PORVENIR 353;-33.455.439;-70.635.275
NASER;MEIGGS 34;-33.451.004;-70.677.194
NOBEL;AV. MANUEL MATTA 696;-33.458.423;-70.643.077
OCHOA;SAN DIEGO 2021;-33.472.054;-70.648.543
OCHOA;AV. LIBERTADOR BERNARDO O'HIGGINS 2281;-33.447.442;-70.666.901
OMARI;SAN ALFONSO 136;-33.452.218;-70.676.091
OMARI;SAN ALFONSO 9;-33.450.697;-70.676.783
SANTO THOMAS;CONFERENCIA 1401;-33.466.493;-70.674.409
SIERRA BELLA;SIERRA BELLA 1499;-33.463.959;-70.635.352
DEL BARRIO;ROBERTO ESPINOZA 1404;-33.464.111;-70.651.887
NUEVA BOGOTA;LIRA 1784;-33.467.806;-70.633.279
CRUZ VERDE;FRANKLIN 798;-33.473.036;-70.643.566
FARMASANTIAGO;SAN DIEGO 2325;-33.475.897;-70.648.455
EZ;FRANKLIN 403;-33.472.024;-70.633.191
ALKOSTO;SAN DIEGO 265. LOCAL 2;-33.448.574;-70.650.963
FARMALIFE;AVENIDA VICUÑA MACKENNA N° 1695;-33.465.892;-70.627.115
FARMAMASPLUS;AV. MANUEL ANTONIO MATTA 77;-33.455.421;-70.630.989
SAN DIEGO;SAN DIEGO 1566;-33.466.847;-70.648.618
BOTICARE;VICTORIA 790;-33.463.271;-70.644.418
PARIS;AVENIDA SANTA ROSA 1138;-33.459.171;-70.643.082
